name,lat,lon
Gwanghwamun,37.5730283,127.0003856
63 Building,37.5193776,126.9380216
Gyeongbokgung,37.579617,126.9748523
Lotte world tower,37.5132452,127.1016887
Banpo Bridge,37.5156865,126.993881
Some Sevit,37.5116789,126.9772099
Night Street,37.5694695,126.9841466
Deoksugung Royal Guard,37.565783,126.9729302
Night View,37.5263365,127.0162216
Night Market,37.5701527,126.9971517
Cheonggyecheon,37.5691015,126.9764805
Joint Security Area, 37.7237,126.9422
Mt Seorak,37.6197,127.1267
Hyangwonjeong,37.5893984,126.9461535
Dongdaemoon Design Plaza,37.5655028,127.0034438